GENE	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
HMX1	0	0	0	0	0	0	0	0	0	0
ADRA2C	0	0	0	0	0	0	0	0	0	0
LRPAP1	0	7	0	0	0	0	0	0	0	392
DOK7	0	0	0	0	0	0	0	0	0	0
HGFAC	0	0	0	0	0	0	0	0	0	0
RGS12	0	0	0	0	0	0	0	0	0	0
C4ORF44	0	0	0	0	0	0	0	0	0	0
HTT	0	59	0	98	350	0	0	0	0	0
U7	0	0	0	0	0	0	0	0	0	0
U6	0	0	0	0	0	0	0	0	0	0
GRK4	0	0	0	0	0	0	0	0	0	0
NOP14	0	285	0	26	0	0	0	0	0	256
MFSD10	75	160	0	0	0	0	0	0	282	0
ADD1	0	237	0	55	0	2	30	0	0	65
SH3BP2	0	0	0	43	91	0	0	0	0	0
TNIP2	0	251	0	0	0	0	288	0	0	0
FAM193A	0	0	0	110	110	0	0	0	0	21
Y_RNA	0	0	0	0	0	0	0	0	0	0
RNF4	0	0	0	46	0	0	0	0	0	40
