CynoEnsembl	Gene	Gene_type	Description	HumanEnsembl	Gene_Human
ENSMFAG00000000001		Mt_tRNA			
ENSMFAG00000000002		Mt_rRNA			
ENSMFAG00000000003		Mt_tRNA			
ENSMFAG00000000004		Mt_rRNA			
ENSMFAG00000000005		Mt_tRNA			
ENSMFAG00000000006		Mt_tRNA			
ENSMFAG00000000007		Mt_tRNA			
ENSMFAG00000000008		Mt_tRNA			
ENSMFAG00000000009		Mt_tRNA			
ENSMFAG00000000010		Mt_tRNA			
ENSMFAG00000000011		Mt_tRNA			
ENSMFAG00000000012		Mt_tRNA			
ENSMFAG00000000013		Mt_tRNA			
ENSMFAG00000000014		Mt_tRNA			
ENSMFAG00000000015		Mt_tRNA			
ENSMFAG00000000016		Mt_tRNA			
ENSMFAG00000000017		Mt_tRNA			
ENSMFAG00000000018		Mt_tRNA			
ENSMFAG00000000019		Mt_tRNA			
ENSMFAG00000000020		Mt_tRNA			
ENSMFAG00000000021		Mt_tRNA			
ENSMFAG00000000022		Mt_tRNA			
ENSMFAG00000000023		Mt_tRNA			
ENSMFAG00000000024		Mt_tRNA			
ENSMFAG00000000025	SKA1	protein_coding	spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109]	ENSG00000154839	SKA1
ENSMFAG00000000026		IG_V_gene		ENSG00000278782	AC136616.3
ENSMFAG00000000027		protein_coding			
ENSMFAG00000000028	SLITRK1	protein_coding	SLIT and NTRK like family member 1 [Source:HGNC Symbol;Acc:HGNC:20297]	ENSG00000178235	SLITRK1
ENSMFAG00000000029	PNMA2	protein_coding	PNMA family member 2 [Source:NCBI gene;Acc:102124250]	ENSG00000240694	PNMA2
ENSMFAG00000000030		protein_coding			
ENSMFAG00000000031		protein_coding	triosephosphate isomerase-like [Source:NCBI gene;Acc:102120757]	ENSG00000111669	TPI1
ENSMFAG00000000032	RF00181	snoRNA	"small nucleolar RNA, C/D box 113-8 [Source:HGNC Symbol;Acc:HGNC:32987]"	ENSG00000200367	SNORD113-8
ENSMFAG00000000033	ZNF708	protein_coding	zinc finger protein 708 [Source:HGNC Symbol;Acc:HGNC:12945]	ENSG00000182141	ZNF708
ENSMFAG00000000034	PYY	protein_coding	peptide YY [Source:HGNC Symbol;Acc:HGNC:9748]	ENSG00000131096	PYY
ENSMFAG00000000035	INSM1	protein_coding	INSM transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:6090]	ENSG00000173404	INSM1
